순위,공감종류,기사제목,기사링크,기사내용,공감수,수집일자
1,surprise,"'혼전임신·반려견 유기 루머' 현아♥용준형, 韓 떠났다..미리 보는 허니문 [종합]",https://m.entertain.naver.com/ranking/article/109/0005152491,결혼을 앞두고 있는 가수 현아와 용준형이 각종 루머에 강경 대응 입장을 전한 뒤 한국을 떠났다. 미리 보는 신혼여행이라고 불러도 될 만큼 행복한...,98,2024-09-08 12:36:01.883885+09:00
2,surprise,"모모랜드 출신 주이, 눈 둘 곳 없는 과감 비키니‥복근+애플힙 반전 몸매",https://m.entertain.naver.com/ranking/article/609/0000894705,모모랜드 주이가 과감한 비키니를 완벽하게 소화했다. 주이는 지난 9월 6일 자신의 소셜미디어에 “진짜 여름 끝..안녕 잘가”라는 글과 함께 사진...,41,2024-09-08 12:36:01.894903+09:00
3,surprise,"서정희, 60대 믿기지 않네..재혼 앞두고 미모 물오른 모녀",https://m.entertain.naver.com/ranking/article/112/0003719028,"방송인 서정희가 소녀미를 자랑했다. 7일 서정희는 SNS에 ""동주가 애정으로 한땀 한땀 찍은 사진들""이라는 글과 함께 여러 장의 사진을 게재했다...",40,2024-09-08 12:36:01.897117+09:00
4,surprise,"현아♥용준형, 누가 뭐래도 행복한 예비 부부의 출장길",https://m.entertain.naver.com/ranking/article/609/0000894702,"'예비부부' 용준형, 현아가 공항에서 포착됐다. 현아와 용준형은 9월 7일 오후 인천공항을 통해 홍콩으로 출국했다. 이들은 'Star Nest ...",32,2024-09-08 12:36:01.898117+09:00
5,surprise,"휘성, '성형·건강이상설 일축' 17kg 감량…""아직 폼 안 죽어"" [엑's 이슈]",https://m.entertain.naver.com/ranking/article/311/0001769078,약 한 달 전 성형설부터 건강 이상설까지 각종 의혹으로 연예계를 떠들썩하게 만들었던 가수 휘성이 한층 달라진 비주얼로 이목을 집중시켰다. 휘성은...,32,2024-09-08 12:36:01.900117+09:00
6,surprise,"빠니보틀 “노홍철과 남극 여행, 경비 6천만원 전액 부담”(아는형님)",https://m.entertain.naver.com/ranking/article/609/0000894748,빠니보틀이 노홍철과 떠난 남극 여행 비용을 전액 부담한 이유를 밝혔다. 9월 7일 방송된 JTBC ‘아는 형님’에는 여행 크리에이터 빠니보틀이 ...,27,2024-09-08 12:36:01.901117+09:00
7,surprise,"아이비 ""내동생 오늘 대수술…무려 15개 발치"" 속상한 마음",https://m.entertain.naver.com/ranking/article/311/0001769047,"가수 겸 뮤지컬배우 아이비의 반려견이 수술을 받았다. 아이비는 6일 자신의 개인 채널에 ""내동생 오늘 대수술 했어요. 얼마전에 양치 시키는데 앞...",23,2024-09-08 12:36:01.904121+09:00
8,surprise,"김연아, ‘❤️ 고우림’ 없는 34번째 생일…와플과 삶은 계란으로 소박하게",https://m.entertain.naver.com/ranking/article/410/0001022410,김연아가 34번째 생일 맞아 ‘한옥멍’ 일상을 공개해 남편 고우림의 빈자리가 아쉬워 보인다. 피겨 스케이팅 선수 출신 김연아가 9월 7일 자신의...,15,2024-09-08 12:36:01.906112+09:00
9,surprise,"박경, '학폭 인정' 했는데 복귀…블락비 멤버들에 ""고마워"" 눈물 [엑's 이슈]",https://m.entertain.naver.com/ranking/article/311/0001769060,가수 박경이 쿨 유리에이어 블락비 멤버들의 손을 잡고 본격 복귀했다. 박경은 블락비 멤버들과 함께 6일 방송된 KBS 2TV '더 시즌즈-지코의...,15,2024-09-08 12:36:01.907630+09:00
10,surprise,"‘한창♥’ 장영란, “어린 나이에 포기하지 않고 나랑 결혼해줘서 고마워” 꿀 뚝뚝",https://m.entertain.naver.com/ranking/article/117/0003868895,"방송인 장영란이 결혼기념일 15주년 소감을 전했다. 7일 장영란은 개인 계정에 ""어제 저녁 #결기15주년""이라고 썼다. 이어 “그 어린 나이에 ...",14,2024-09-08 12:36:01.908630+09:00
